0010A;RMK_1_0007_0018
0010B;RMK_1_0007_0019
0011A;RMK_1_0007_0019
0011B;RMK_1_0007_0020
0012A;RMK_1_0007_0020
0012B;RMK_1_0007_0021
0012B;RMK_1_0007_0021
0013A;RMK_1_0007_0021
0013B;RMK_1_0007_0022
0014A;RMK_1_0007_0022
0014B;RMK_1_0007_0023
0014B;RMK_1_0007_0023
0015A;RMK_1_0007_0023
0015B;RMK_1_0007_0024
0016A;RMK_1_0007_0024
0016A;RMK_1_0007_0025
0017A;RMK_1_0007_0025
0017A;RMK_1_0007_0025
0017B;RMK_1_0007_0026
0018A;RMK_1_0007_0026
0018A;RMK_1_0007_0026
0018B;RMK_1_0007_0027
0019A;RMK_1_0007_0027
0019B;RMK_1_0007_0028
0019B;RMK_1_0007_0028
0020A;RMK_1_0007_0028
0020B;RMK_1_0007_0029
0021A;RMK_1_0007_0029
0021A;RMK_1_0007_0029
0021B;RMK_1_0007_0030
0022A;RMK_1_0007_0030
0022B;RMK_1_0007_0031
0023A;RMK_1_0007_0031
0023B;RMK_1_0007_0032
0024A;RMK_1_0007_0032
0024A;RMK_1_0007_0032
0024B;RMK_1_0007_0033
0025A;RMK_1_0007_0033
0025A;RMK_1_0007_0034
0025B;RMK_1_0007_0034
0026A;RMK_1_0007_0034
0026B;RMK_1_0007_0035
0027A;RMK_1_0007_0036
0027B;RMK_1_0007_0036
0028A;RMK_1_0007_0036
0028B;RMK_1_0007_0037
0029A;RMK_1_0007_0037
0029A;RMK_1_0007_0037
0029B;RMK_1_0007_0038
0030A;RMK_1_0007_0038
0030B;RMK_1_0007_0039
0031A;RMK_1_0007_0039
0031A;RMK_1_0007_0039
0031B;RMK_1_0007_0040
0032A;RMK_1_0007_0040
0033A;RMK_1_0007_0041
0033B;RMK_1_0007_0042
0033B;RMK_1_0007_0042
0034A;RMK_1_0007_0042
0034B;RMK_1_0007_0043
0035A;RMK_1_0007_0043
0035B;RMK_1_0007_0044
0035B;RMK_1_0007_0044
0036A;RMK_1_0007_0044
0036A;RMK_1_0007_0044
0036B;RMK_1_0007_0045
0037A;RMK_1_0007_0045
0037B;RMK_1_0007_0046
0037B;RMK_1_0007_0046
0038A;RMK_1_0007_0046
0038B;RMK_1_0007_0047
0038B;RMK_1_0007_0047
0039A;RMK_1_0007_0047
0039B;RMK_1_0007_0048
0040A;RMK_1_0007_0048
